"pt_ID","invOpen","invTotAssets","invTotContr","TrHonour","TrDisrupt","TrRetal","TrRepair","Drel_fI_tot","Drel_fT_tot","respMag","respAng"
"10009",10.000,243.000,145.000,0.333,0.667,0.200,0.800,2.675,-0.224,0.384,-4.776
"10017",16.000,239.000,154.000,1.000,0.000,0.000,1.000,0.200,-0.212,0.042,-46.727
"10025",3.000,191.000,50.000,0.333,0.667,0.667,0.333,-1.919,-1.200,0.323,-147.988
"10041",10.000,277.000,171.000,1.000,0.000,0.250,0.750,-0.950,-0.395,0.147,-157.438
"10059",10.000,194.000,79.000,0.500,0.500,0.500,0.500,-0.599,-0.542,0.115,-137.859
"10067",8.000,204.000,121.000,0.800,0.200,0.667,0.333,0.567,-0.374,0.097,-33.366
"10075",20.000,256.000,170.000,0.667,0.333,0.800,0.200,1.570,-0.479,0.235,-16.968
"10083",20.000,280.000,180.000,1.000,0.000,0.250,0.750,-1.000,-0.752,0.179,-143.051
"10091",3.000,189.000,28.000,0.333,0.667,0.200,0.800,-1.034,-2.317,0.362,-114.045
"10116",7.000,194.000,79.000,0.800,0.200,0.667,0.333,0.149,-0.581,0.086,-75.590
"10140",3.000,200.000,14.000,NaN,NaN,1.000,0.000,-2.800,-2.200,0.509,-141.843
"10158",10.000,202.000,92.000,0.667,0.333,0.800,0.200,-0.631,-0.727,0.138,-130.961
"10174",20.000,259.000,140.000,0.000,1.000,0.500,0.500,0.667,-0.553,0.124,-39.640
"10182",12.000,280.000,192.000,1.000,0.000,0.000,1.000,0.000,-0.284,0.041,-90.000
"10207",6.000,216.000,117.000,0.750,0.250,0.500,0.500,0.783,-0.530,0.135,-34.101
"10215",15.000,194.000,66.000,0.250,0.750,0.000,1.000,-0.811,-1.540,0.249,-117.767
"10223",5.000,274.000,140.000,1.000,0.000,0.667,0.333,2.738,-0.011,0.391,-0.239
"10265",10.000,239.000,138.000,1.000,0.000,0.667,0.333,0.257,-0.071,0.038,-15.512
"10281",10.000,195.000,89.000,0.333,0.667,0.500,0.500,-1.402,-0.058,0.200,-177.620
"10299",12.000,209.000,95.000,1.000,0.000,0.429,0.571,-0.239,-0.965,0.142,-103.901
"10306",5.000,221.000,117.000,0.333,0.667,0.600,0.400,0.681,-0.634,0.133,-42.948
"10314",11.000,233.000,102.000,0.000,1.000,0.429,0.571,-0.563,-0.388,0.098,-145.417
"10330",12.000,219.000,85.000,0.667,0.333,0.400,0.600,-0.377,-0.399,0.078,-133.376
"10356",10.000,202.000,56.000,1.000,0.000,0.333,0.667,-0.915,-1.352,0.233,-124.103
"10364",20.000,284.000,200.000,1.000,0.000,0.000,1.000,0.000,-0.752,0.107,-90.000
"10447",5.000,207.000,67.000,0.000,1.000,0.750,0.250,-2.286,-1.178,0.367,-152.744
"10520",20.000,263.000,132.000,0.750,0.250,0.500,0.500,-1.154,-0.558,0.183,-154.176
"10570",11.000,201.000,83.000,0.250,0.750,0.250,0.750,-0.357,-1.566,0.229,-102.847
"10629",15.000,242.000,136.000,0.667,0.333,0.600,0.400,0.517,-0.273,0.084,-27.825
"10679",8.000,228.000,119.000,0.250,0.750,0.250,0.750,1.092,-0.857,0.198,-38.132
"10695",12.000,216.000,120.000,0.667,0.333,0.400,0.600,0.595,-0.895,0.153,-56.375
"10702",15.000,214.000,129.000,0.667,0.333,0.600,0.400,0.457,-1.083,0.168,-67.124
"10710",15.000,230.000,140.000,1.000,0.000,0.750,0.250,-0.199,-0.582,0.088,-108.843
