"nspnID","invOpen.bsl","respMag.bsl","respAng.bsl","invTotContr.bsl","invTotAssets.bsl","invOpen.fu1","respMag.fu1","respAng.fu1","invTotContr.fu1","invTotAssets.fu1","invOpen.fu2","respMag.fu2","respAng.fu2","invTotContr.fu2","invTotAssets.fu2"
10009,10,0.384,-4.776,145,243,NA,NA,NA,NA,NA,12,0.186,-6.154,152,249
10017,16,0.042,-46.727,154,239,NA,NA,NA,NA,NA,10,0.076,-12.735,149,238
10025,3,0.323,-147.988,50,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10041,10,0.147,-157.438,171,277,NA,NA,NA,NA,NA,15,0.248,-163.638,125,206
10059,10,0.115,-137.859,79,194,NA,NA,NA,NA,NA,5,0.111,-22.015,113,225
10067,8,0.097,-33.366,121,204,NA,NA,NA,NA,NA,20,0.113,-108.386,195,277
10075,20,0.235,-16.968,170,256,NA,NA,NA,NA,NA,20,0.041,-86.051,167,283
10083,20,0.179,-143.051,180,280,NA,NA,NA,NA,NA,20,0.179,-143.051,180,280
10091,3,0.362,-114.045,28,189,NA,NA,NA,NA,NA,10,0.139,-13.11,138,222
10116,7,0.086,-75.59,79,194,NA,NA,NA,NA,NA,20,0.107,-90,200,284
10140,3,0.509,-141.843,14,200,NA,NA,NA,NA,NA,5,0.206,-139.767,59,194
10158,10,0.138,-130.961,92,202,NA,NA,NA,NA,NA,15,0.093,-112.678,105,222
10174,20,0.124,-39.64,140,259,NA,NA,NA,NA,NA,10,0.226,-102.577,93,194
10182,12,0.041,-90,192,280,NA,NA,NA,NA,NA,12,0.038,-92.653,154,256
10207,6,0.135,-34.101,117,216,NA,NA,NA,NA,NA,15,0.146,-38.254,168,248
10215,15,0.249,-117.767,66,194,NA,NA,NA,NA,NA,16,0.177,-117.895,109,211
10223,5,0.391,-0.239,140,274,NA,NA,NA,NA,NA,10,0.299,-0.3,168,272
10265,10,0.038,-15.512,138,239,NA,NA,NA,NA,NA,16,0.108,-25.349,172,264
10281,10,0.2,-177.62,89,195,NA,NA,NA,NA,NA,5,0.094,-133.649,99,236
10299,12,0.142,-103.901,95,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10306,5,0.133,-42.948,117,221,NA,NA,NA,NA,NA,10,0.304,-5.902,165,258
10314,11,0.098,-145.417,102,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10330,12,0.078,-133.376,85,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10356,10,0.233,-124.103,56,202,10,0.229,-5.104,151,251,NA,NA,NA,NA,NA
10364,20,0.107,-90,200,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10447,5,0.367,-152.744,67,207,NA,NA,NA,NA,NA,1,0.185,-149.836,33,189
10520,20,0.183,-154.176,132,263,NA,NA,NA,NA,NA,8,0.189,-149.217,57,201
10570,11,0.229,-102.847,83,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10629,15,0.084,-27.825,136,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10679,8,0.198,-38.132,119,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10695,12,0.153,-56.375,120,216,NA,NA,NA,NA,NA,10,0.222,-17.026,133,221
10702,15,0.168,-67.124,129,214,NA,NA,NA,NA,NA,20,0.107,-90,200,284
10710,15,0.088,-108.843,140,230,NA,NA,NA,NA,NA,10,0.135,-119.44,83,200
10728,20,0.129,-123.614,190,275,NA,NA,NA,NA,NA,20,0.129,-123.614,190,275
10736,7,0.082,-10.061,119,226,5,0.114,-75.597,105,224,7,0.072,-132.672,98,202
10744,10,0.109,-122.628,100,203,NA,NA,NA,NA,NA,10,0.111,-131.791,108,199
10752,10,0.222,-149.635,75,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10778,20,0.147,-47.019,194,276,20,0.198,-20.252,186,281,NA,NA,NA,NA,NA
10794,9,0.113,-121.993,91,199,NA,NA,NA,NA,NA,7,0.06,-78.967,93,196
10801,5,0.262,-2.461,136,262,NA,NA,NA,NA,NA,10,0.037,-129.695,136,242
10819,5,0.256,-163.449,43,200,NA,NA,NA,NA,NA,5,0.396,-123.498,54,190
10827,2,0.32,-124.693,28,185,NA,NA,NA,NA,NA,10,0.206,-157.552,84,204
10843,7,0.059,-56.424,103,206,NA,NA,NA,NA,NA,8,0.065,-75.741,122,245
10869,10,0.348,-1.08,159,265,NA,NA,NA,NA,NA,10,0.166,-8.255,126,219
10877,9,0.082,-101.342,86,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10893,4,0.229,-3.327,121,240,NA,NA,NA,NA,NA,6,0.31,-10.214,124,236
10900,20,0.133,-126.176,189,276,NA,NA,NA,NA,NA,20,0.173,-38.333,199,283
10918,5,0.189,-76.133,66,189,NA,NA,NA,NA,NA,14,0.303,-173.364,88,215
10975,20,0.087,-35.123,190,279,20,0.179,-143.051,180,280,20,0.179,-143.051,180,280
10983,15,0.185,-15.657,188,276,NA,NA,NA,NA,NA,20,0.11,-101.278,197,282
11049,14,0.055,-2.332,145,229,NA,NA,NA,NA,NA,17,0.254,-1.538,189,283
11064,5,0.225,-124.737,52,206,NA,NA,NA,NA,NA,5,0.207,-131.097,62,207
11171,10,0.049,-62.35,124,245,2,0.357,-143.13,7,198,5,0.282,-169.74,19,206
11239,8,0.316,-29.858,124,223,NA,NA,NA,NA,NA,16,0.268,-10.387,150,234
11262,12,0.215,-7.519,142,252,20,0.107,-90,200,284,20,0.107,-90,200,284
11296,8,0.139,-124.05,92,195,NA,NA,NA,NA,NA,8,0.229,-129.865,80,201
11304,14,0.374,0.312,171,247,NA,NA,NA,NA,NA,15,0.206,-16.183,174,249
11312,10,0.166,1.152,153,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11320,8,0.288,-129.913,53,200,NA,NA,NA,NA,NA,6,0.187,-137.376,53,200
11338,5,0.213,-145.755,55,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11403,6,0.19,-158.296,65,183,NA,NA,NA,NA,NA,10,0.039,-104.204,159,254
11429,3,0.305,-129.058,29,190,NA,NA,NA,NA,NA,5,0.153,-120.168,68,212
11460,13,0.291,0.432,172,279,15,0.06,-137.062,135,231,NA,NA,NA,NA,NA
11486,15,0.055,-115.593,153,223,NA,NA,NA,NA,NA,12,0.208,-133.485,89,224
11544,8,0.204,-116.386,74,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11551,8,0.204,-111.535,88,201,NA,NA,NA,NA,NA,10,0.245,-113.044,82,196
11619,10,0.077,-80.876,112,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11627,3,0.328,-105.973,49,180,NA,NA,NA,NA,NA,11,0.137,-122.275,90,210
11635,7,0.094,-126.169,83,196,NA,NA,NA,NA,NA,6,0.27,-124.058,51,192
11718,5,0.209,-113.518,41,198,NA,NA,NA,NA,NA,2,0.41,-125.538,10,197
